study_name,trial_id,tumor_lineage,tumor_type,lymphoma_subtype,regimen,ICI_agent,ICI_class,chemotherapy_context,timing_architecture,steroid_core_regimen_available,endpoint_label_in_source,endpoint_taxonomy,safety_N,events,rate_percent,grade,source_tier,quantitative_role,source_file_or_url,extraction_note,eligibility_for_primary_pooling,reason_excluded_from_primary_pooling
CheckMate 067,,solid,advanced melanoma,,Nivolumab,,,,,unclear,Adrenal insufficiency (non-serious registry AE),registry audit only,313,4,1.28,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 4/313. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Nivolumab + Ipilimumab,,,,,unclear,Adrenal insufficiency (non-serious registry AE),registry audit only,313,16,5.11,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 16/313. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Ipilimumab,,,,,unclear,Adrenal insufficiency (non-serious registry AE),registry audit only,311,7,2.25,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 7/311. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Nivolumab,,,,,unclear,Hyperthyroidism (non-serious registry AE),registry audit only,313,18,5.75,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 18/313. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Nivolumab + Ipilimumab,,,,,unclear,Hyperthyroidism (non-serious registry AE),registry audit only,313,30,9.58,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 30/313. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Ipilimumab,,,,,unclear,Hyperthyroidism (non-serious registry AE),registry audit only,311,3,0.96,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 3/311. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Nivolumab,,,,,unclear,Hypophysitis (non-serious registry AE),registry audit only,313,5,1.6,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 5/313. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Nivolumab + Ipilimumab,,,,,unclear,Hypophysitis (non-serious registry AE),registry audit only,313,20,6.39,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 20/313. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Ipilimumab,,,,,unclear,Hypophysitis (non-serious registry AE),registry audit only,311,9,2.89,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 9/311. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Nivolumab,,,,,unclear,Hypothyroidism (non-serious registry AE),registry audit only,313,38,12.14,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 38/313. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Nivolumab + Ipilimumab,,,,,unclear,Hypothyroidism (non-serious registry AE),registry audit only,313,68,21.73,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 68/313. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Ipilimumab,,,,,unclear,Hypothyroidism (non-serious registry AE),registry audit only,311,17,5.47,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 17/311. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Nivolumab,,,,,unclear,Colitis (non-serious registry AE),registry audit only,313,9,2.88,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 9/313. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Nivolumab + Ipilimumab,,,,,unclear,Colitis (non-serious registry AE),registry audit only,313,21,6.71,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 21/313. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Ipilimumab,,,,,unclear,Colitis (non-serious registry AE),registry audit only,311,15,4.82,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 15/311. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Nivolumab,,,,,unclear,Diarrhoea (non-serious registry AE),registry audit only,313,122,38.98,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 122/313. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Nivolumab + Ipilimumab,,,,,unclear,Diarrhoea (non-serious registry AE),registry audit only,313,168,53.67,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 168/313. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Ipilimumab,,,,,unclear,Diarrhoea (non-serious registry AE),registry audit only,311,147,47.27,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 147/311. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Nivolumab,,,,,unclear,Alanine aminotransferase increased (non-serious registry AE),registry audit only,313,25,7.99,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 25/313. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Nivolumab + Ipilimumab,,,,,unclear,Alanine aminotransferase increased (non-serious registry AE),registry audit only,313,69,22.04,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 69/313. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Ipilimumab,,,,,unclear,Alanine aminotransferase increased (non-serious registry AE),registry audit only,311,18,5.79,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 18/311. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Nivolumab,,,,,unclear,Aspartate aminotransferase increased (non-serious registry AE),registry audit only,313,25,7.99,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 25/313. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Nivolumab + Ipilimumab,,,,,unclear,Aspartate aminotransferase increased (non-serious registry AE),registry audit only,313,61,19.49,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 61/313. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Ipilimumab,,,,,unclear,Aspartate aminotransferase increased (non-serious registry AE),registry audit only,311,19,6.11,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 19/311. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Nivolumab,,,,,unclear,Pneumonitis (non-serious registry AE),registry audit only,313,6,1.92,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 6/313. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Nivolumab + Ipilimumab,,,,,unclear,Pneumonitis (non-serious registry AE),registry audit only,313,17,5.43,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 17/313. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Ipilimumab,,,,,unclear,Pneumonitis (non-serious registry AE),registry audit only,311,7,2.25,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 7/311. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Nivolumab,,,,,unclear,Pruritus (non-serious registry AE),registry audit only,313,92,29.39,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 92/313. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Nivolumab + Ipilimumab,,,,,unclear,Pruritus (non-serious registry AE),registry audit only,313,126,40.26,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 126/313. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Ipilimumab,,,,,unclear,Pruritus (non-serious registry AE),registry audit only,311,135,43.41,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 135/311. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Nivolumab,,,,,unclear,Rash (non-serious registry AE),registry audit only,313,101,32.27,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 101/313. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Nivolumab + Ipilimumab,,,,,unclear,Rash (non-serious registry AE),registry audit only,313,111,35.46,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 111/313. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Ipilimumab,,,,,unclear,Rash (non-serious registry AE),registry audit only,311,84,27.01,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 84/311. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Nivolumab,,,,,unclear,Rash maculo-papular (non-serious registry AE),registry audit only,313,22,7.03,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 22/313. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Nivolumab + Ipilimumab,,,,,unclear,Rash maculo-papular (non-serious registry AE),registry audit only,313,44,14.06,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 44/313. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
CheckMate 067,,solid,advanced melanoma,,Ipilimumab,,,,,unclear,Rash maculo-papular (non-serious registry AE),registry audit only,311,43,13.83,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT01844505,"ClinicalTrials.gov NCT01844505 adverseEventsModule; non-serious AE table, affected/at-risk = 43/311. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
KEYNOTE-024,,solid,"metastatic NSCLC, PD-L1 TPS >=50%",,Pembrolizumab First Course,,,,,unclear,Hyperthyroidism (non-serious registry AE),registry audit only,154,10,6.49,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT02142738,"ClinicalTrials.gov NCT02142738 adverseEventsModule; non-serious AE table, affected/at-risk = 10/154. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
KEYNOTE-024,,solid,"metastatic NSCLC, PD-L1 TPS >=50%",,Pembrolizumab First Course,,,,,unclear,Hypothyroidism (non-serious registry AE),registry audit only,154,16,10.39,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT02142738,"ClinicalTrials.gov NCT02142738 adverseEventsModule; non-serious AE table, affected/at-risk = 16/154. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
KEYNOTE-024,,solid,"metastatic NSCLC, PD-L1 TPS >=50%",,Pembrolizumab Second Course,,,,,unclear,Hypothyroidism (non-serious registry AE),registry audit only,12,1,8.33,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT02142738,"ClinicalTrials.gov NCT02142738 adverseEventsModule; non-serious AE table, affected/at-risk = 1/12. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
KEYNOTE-024,,solid,"metastatic NSCLC, PD-L1 TPS >=50%",,Pembrolizumab First Course,,,,,unclear,Diarrhoea (non-serious registry AE),registry audit only,154,41,26.62,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT02142738,"ClinicalTrials.gov NCT02142738 adverseEventsModule; non-serious AE table, affected/at-risk = 41/154. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
KEYNOTE-024,,solid,"metastatic NSCLC, PD-L1 TPS >=50%",,Pembrolizumab Second Course,,,,,unclear,Diarrhoea (non-serious registry AE),registry audit only,12,1,8.33,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT02142738,"ClinicalTrials.gov NCT02142738 adverseEventsModule; non-serious AE table, affected/at-risk = 1/12. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
KEYNOTE-024,,solid,"metastatic NSCLC, PD-L1 TPS >=50%",,Pembrolizumab First Course,,,,,unclear,Alanine aminotransferase increased (non-serious registry AE),registry audit only,154,17,11.04,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT02142738,"ClinicalTrials.gov NCT02142738 adverseEventsModule; non-serious AE table, affected/at-risk = 17/154. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
KEYNOTE-024,,solid,"metastatic NSCLC, PD-L1 TPS >=50%",,Pembrolizumab Second Course,,,,,unclear,Alanine aminotransferase increased (non-serious registry AE),registry audit only,12,1,8.33,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT02142738,"ClinicalTrials.gov NCT02142738 adverseEventsModule; non-serious AE table, affected/at-risk = 1/12. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
KEYNOTE-024,,solid,"metastatic NSCLC, PD-L1 TPS >=50%",,Pembrolizumab First Course,,,,,unclear,Aspartate aminotransferase increased (non-serious registry AE),registry audit only,154,15,9.74,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT02142738,"ClinicalTrials.gov NCT02142738 adverseEventsModule; non-serious AE table, affected/at-risk = 15/154. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
KEYNOTE-024,,solid,"metastatic NSCLC, PD-L1 TPS >=50%",,Pembrolizumab Second Course,,,,,unclear,Aspartate aminotransferase increased (non-serious registry AE),registry audit only,12,1,8.33,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT02142738,"ClinicalTrials.gov NCT02142738 adverseEventsModule; non-serious AE table, affected/at-risk = 1/12. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
KEYNOTE-024,,solid,"metastatic NSCLC, PD-L1 TPS >=50%",,Pembrolizumab First Course,,,,,unclear,Pruritus (non-serious registry AE),registry audit only,154,32,20.78,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT02142738,"ClinicalTrials.gov NCT02142738 adverseEventsModule; non-serious AE table, affected/at-risk = 32/154. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
KEYNOTE-024,,solid,"metastatic NSCLC, PD-L1 TPS >=50%",,Pembrolizumab Second Course,,,,,unclear,Pruritus (non-serious registry AE),registry audit only,12,2,16.67,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT02142738,"ClinicalTrials.gov NCT02142738 adverseEventsModule; non-serious AE table, affected/at-risk = 2/12. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
KEYNOTE-024,,solid,"metastatic NSCLC, PD-L1 TPS >=50%",,Pembrolizumab First Course,,,,,unclear,Rash (non-serious registry AE),registry audit only,154,28,18.18,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT02142738,"ClinicalTrials.gov NCT02142738 adverseEventsModule; non-serious AE table, affected/at-risk = 28/154. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
KEYNOTE-024,,solid,"metastatic NSCLC, PD-L1 TPS >=50%",,Pembrolizumab First Course,,,,,unclear,Rash maculo-papular (non-serious registry AE),registry audit only,154,7,4.55,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT02142738,"ClinicalTrials.gov NCT02142738 adverseEventsModule; non-serious AE table, affected/at-risk = 7/154. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
KEYNOTE-564,,solid,adjuvant renal cell carcinoma,,Pembrolizumab,,,,,unclear,Hyperthyroidism (non-serious registry AE),registry audit only,488,56,11.48,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT03142334,"ClinicalTrials.gov NCT03142334 adverseEventsModule; non-serious AE table, affected/at-risk = 56/488. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
KEYNOTE-564,,solid,adjuvant renal cell carcinoma,,Pembrolizumab,,,,,unclear,Hypothyroidism (non-serious registry AE),registry audit only,488,103,21.11,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT03142334,"ClinicalTrials.gov NCT03142334 adverseEventsModule; non-serious AE table, affected/at-risk = 103/488. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
KEYNOTE-564,,solid,adjuvant renal cell carcinoma,,Pembrolizumab,,,,,unclear,Diarrhoea (non-serious registry AE),registry audit only,488,123,25.2,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT03142334,"ClinicalTrials.gov NCT03142334 adverseEventsModule; non-serious AE table, affected/at-risk = 123/488. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
KEYNOTE-564,,solid,adjuvant renal cell carcinoma,,Pembrolizumab,,,,,unclear,Alanine aminotransferase increased (non-serious registry AE),registry audit only,488,35,7.17,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT03142334,"ClinicalTrials.gov NCT03142334 adverseEventsModule; non-serious AE table, affected/at-risk = 35/488. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
KEYNOTE-564,,solid,adjuvant renal cell carcinoma,,Pembrolizumab,,,,,unclear,Aspartate aminotransferase increased (non-serious registry AE),registry audit only,488,36,7.38,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT03142334,"ClinicalTrials.gov NCT03142334 adverseEventsModule; non-serious AE table, affected/at-risk = 36/488. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
KEYNOTE-564,,solid,adjuvant renal cell carcinoma,,Pembrolizumab,,,,,unclear,Pruritus (non-serious registry AE),registry audit only,488,111,22.75,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT03142334,"ClinicalTrials.gov NCT03142334 adverseEventsModule; non-serious AE table, affected/at-risk = 111/488. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
KEYNOTE-564,,solid,adjuvant renal cell carcinoma,,Pembrolizumab,,,,,unclear,Rash (non-serious registry AE),registry audit only,488,98,20.08,any grade,registry_audit,context_or_audit_only,https://clinicaltrials.gov/study/NCT03142334,"ClinicalTrials.gov NCT03142334 adverseEventsModule; non-serious AE table, affected/at-risk = 98/488. These are registry AE terms, not adjudicated immune-mediated AE rates.",no,registry AE table is source-audit evidence only
EMPOWER-Lung 1 / Study 1624,,solid,"locally advanced or metastatic NSCLC, PD-L1 TPS >=50%",,cemiplimab monotherapy,,,,,unclear,rash composite,regulatory sensitivity,355,53,15.0,any grade,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761097s030lbl.pdf,"FDA LIBTAYO 2025 label Study 1624 safety section; patients received cemiplimab 350 mg every 3 weeks (n=355) versus chemotherapy (n=342). These are regulatory adverse-reaction/laboratory rows, not a complete immune-mediated AE appendix. Table 11 reports rash composite 15% all grades and 1.4% grades 3-4. Composite includes autoimmune dermatitis among other rash terms.",no,regulatory or label source is not an original endpoint-compatible trial appendix
EMPOWER-Lung 1 / Study 1624,,solid,"locally advanced or metastatic NSCLC, PD-L1 TPS >=50%",,cemiplimab monotherapy,,,,,unclear,rash composite,regulatory sensitivity,355,5,1.4,grade >=3,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761097s030lbl.pdf,"FDA LIBTAYO 2025 label Study 1624 safety section; patients received cemiplimab 350 mg every 3 weeks (n=355) versus chemotherapy (n=342). These are regulatory adverse-reaction/laboratory rows, not a complete immune-mediated AE appendix. Table 11 reports rash composite 15% all grades and 1.4% grades 3-4. Composite includes autoimmune dermatitis among other rash terms.",no,regulatory or label source is not an original endpoint-compatible trial appendix
EMPOWER-Lung 1 / Study 1624,,solid,"locally advanced or metastatic NSCLC, PD-L1 TPS >=50%",,cemiplimab monotherapy,,,,,unclear,increased AST,regulatory sensitivity,355,14,3.9,grade >=3,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761097s030lbl.pdf,"FDA LIBTAYO 2025 label Study 1624 safety section; patients received cemiplimab 350 mg every 3 weeks (n=355) versus chemotherapy (n=342). These are regulatory adverse-reaction/laboratory rows, not a complete immune-mediated AE appendix. Table 12 reports grade 3-4 AST increased 3.9%.",no,regulatory or label source is not an original endpoint-compatible trial appendix
EMPOWER-Lung 1 / Study 1624,,solid,"locally advanced or metastatic NSCLC, PD-L1 TPS >=50%",,cemiplimab monotherapy,,,,,unclear,increased ALT,regulatory sensitivity,355,10,2.7,grade >=3,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761097s030lbl.pdf,"FDA LIBTAYO 2025 label Study 1624 safety section; patients received cemiplimab 350 mg every 3 weeks (n=355) versus chemotherapy (n=342). These are regulatory adverse-reaction/laboratory rows, not a complete immune-mediated AE appendix. Table 12 reports grade 3-4 ALT increased 2.7%.",no,regulatory or label source is not an original endpoint-compatible trial appendix
EMPOWER-Lung 1 / Study 1624,,solid,"locally advanced or metastatic NSCLC, PD-L1 TPS >=50%",,cemiplimab monotherapy,,,,,unclear,increased blood bilirubin,regulatory sensitivity,355,7,2.1,grade >=3,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761097s030lbl.pdf,"FDA LIBTAYO 2025 label Study 1624 safety section; patients received cemiplimab 350 mg every 3 weeks (n=355) versus chemotherapy (n=342). These are regulatory adverse-reaction/laboratory rows, not a complete immune-mediated AE appendix. Table 12 reports grade 3-4 blood bilirubin increased 2.1%.",no,regulatory or label source is not an original endpoint-compatible trial appendix
EMPOWER-Lung 3,,solid,advanced non-small-cell lung cancer,,cemiplimab plus platinum-doublet chemotherapy,,,chemo-ICI,concurrent_chemo_ici,no,hypothyroidism,immune-mediated AE/imAE,312,24,7.7,any grade,global_sponsor_identified_sensitivity,sensitivity_endpoint_stratum,https://www.nature.com/articles/s41591-022-01977-y,"Supplementary Table 5 reports sponsor-identified immune-related adverse events. The sponsor used a customized query to identify potential irAEs among treated patients; identified irAEs were potential irAEs requiring systemic corticosteroids or immunosuppressants, or immune-related endocrinopathies.",no,endpoint definition is sensitivity imAE/global imAE rather than strict primary layer
